dyad,yearmonth,peacelevel
2060,2000,0.5
2060,2001,0.5
2060,2002,0.5
2060,2003,0.5
2060,2004,0.5
2060,2005,0.5
2060,2006,0.5
2060,2007,0.5
2060,2008,0.5
2060,2009,0.5
2060,2010,0.5
2060,2011,0.5
2060,2012,0.5
2060,2013,0.5
2060,2014,0.5
2060,2015,0.5
2060,2016,0.5
2060,2017,0.5
2060,2018,0.5
2060,2019,0.5
2060,2020,0.5
2070,1900,0
2070,1901,0
2070,1902,0
2070,1903,0
2070,1904,0
2070,1905,0
2070,1906,0
2070,1907,0
2070,1908,0
2070,1909,0
2070,1910,0
2070,1911,0
2070,1912,0
2070,1913,0
2070,1914,0
2070,1915,0
2070,1916,0
2070,1917,0
2070,1918,0
2070,1919,0
2070,1920,0
2070,1921,0
2070,1922,0
2070,1923,0.1666666667
2070,1924,0.5
2070,1925,0.5
2070,1926,0.5
2070,1927,0.5
2070,1928,0.5
2070,1929,0.5
2070,1930,0.5
2070,1931,0.5
2070,1932,0.5
2070,1933,0.5
2070,1934,0.5
2070,1935,0.5
2070,1936,0.5
2070,1937,0.5
2070,1938,0.5
2070,1939,0.5
2070,1940,0.5
2070,1941,0.5
2070,1942,0.5
2070,1943,0.5
2070,1944,0.5
2070,1945,0.5
2070,1946,0.5
2070,1947,0.5
2070,1948,0.5
2070,1949,0.5
2070,1950,0.5
2070,1951,0.5
2070,1952,0.5
2070,1953,0.5
2070,1954,0.5
2070,1955,0.5
2070,1956,0.5
2070,1957,0.5
2070,1958,0.5
2070,1959,0.5
2070,1960,0.5
2070,1961,0.5
2070,1962,0.5
2070,1963,0.5
2070,1964,0.5
2070,1965,0.5
2070,1966,0.5
2070,1967,0.5
2070,1968,0.5
2070,1969,0.5
2070,1970,0.5
2070,1971,0.5
2070,1972,0.5
2070,1973,0.5
2070,1974,0.5
2070,1975,0.5
2070,1976,0.5
2070,1977,0.5
2070,1978,0.5
2070,1979,0.5
2070,1980,0.5
2070,1981,0.5
2070,1982,0.5
2070,1983,0.5
2070,1984,0.5
2070,1985,0.5
2070,1986,0.5
2070,1987,0.5
2070,1988,0.5
2070,1989,0.5
2070,1990,0.5
2070,1991,0.5
2070,1992,0.5
2070,1993,0.5
2070,1994,0.75
2070,1995,0.75
2070,1996,0.75
2070,1997,0.75
2070,1998,0.75
2070,1999,0.75
2070,2000,0.75
2070,2001,0.75
2070,2002,0.75
2070,2003,0.75
2070,2004,0.75
2070,2005,0.75
2070,2006,0.75
2070,2007,0.75
2070,2008,0.75
2070,2009,0.75
2070,2010,0.75
2070,2011,0.75
2070,2012,0.75
2070,2013,0.75
2070,2014,0.75
2070,2015,0.75
2070,2016,0.75
2070,2017,0.75
2070,2018,0.75
2070,2019,0.75
2070,2020,0.75
2080,1981,0.5
2080,1982,0.5
2080,1983,0.5
2080,1984,0.5
2080,1985,0.5
2080,1986,0.5
2080,1987,0.5
2080,1988,0.5
2080,1989,0.5
2080,1990,0.5
2080,1991,0.5
2080,1992,0.5
2080,1993,0.5
2080,1994,0.5
2080,1995,0.5
2080,1996,0.5
2080,1997,0.5
2080,1998,0.5
2080,1999,0.5
2080,2000,0.5
2080,2001,0.5
2080,2002,0.5
2080,2003,0.5
2080,2004,0.5
2080,2005,0.5
2080,2006,0.5
2080,2007,0.5
2080,2008,0.5
2080,2009,0.5
2080,2010,0.5
2080,2011,0.5
2080,2012,0.5
2080,2013,0.5
2080,2014,0.5
2080,2015,0.5
2080,2016,0.5
2080,2017,0.5
2080,2018,0.5
2080,2019,0.5
2080,2020,0.5
2090,1900,0.5
2090,1901,0.5
2090,1902,0.5
2090,1903,0.5
2090,1904,0.5
2090,1905,0.5
2090,1906,0.5
2090,1907,0.5
2090,1908,0.5
2090,1909,0.5
2090,1910,0.5
2090,1911,0.5
2090,1912,0.5
2090,1913,0.5
2090,1914,0.5
2090,1915,0.5
2090,1916,0.5
2090,1917,0.5
2090,1918,0.5
2090,1919,0.5
2090,1920,0.5
2090,1921,0.5
2090,1922,0.5
2090,1923,0.5
2090,1924,0.5
2090,1925,0.5
2090,1926,0.5
2090,1927,0.5
2090,1928,0.5
2090,1929,0.5
2090,1930,0.5
2090,1931,0.5
2090,1932,0.5
2090,1933,0.5
2090,1934,0.5
2090,1935,0.5
2090,1936,0.5
2090,1937,0.5
2090,1938,0.5
2090,1939,0.5
2090,1940,0.5
2090,1941,0.5
2090,1942,0.5
2090,1943,0.5
2090,1944,0.5
2090,1945,0.5
2090,1946,0.5
2090,1947,0.5
2090,1948,0.5
2090,1949,0.5
2090,1950,0.5
2090,1951,0.5
2090,1952,0.5
2090,1953,0.5
2090,1954,0.5
2090,1955,0.5
2090,1956,0.5
2090,1957,0.5
2090,1958,0.5
2090,1959,0.5
2090,1960,0.5
2090,1961,0.5
2090,1962,0.5
2090,1963,0.5
2090,1964,0.5
2090,1965,0.5
2090,1966,0.5
2090,1967,0.5
2090,1968,0.5
2090,1969,0.5
2090,1970,0.5
2090,1971,0.5
2090,1972,0.5
2090,1973,0.5
2090,1974,0.5
2090,1975,0.5
2090,1976,0.5
